crop,soil_type,season,irrigation_type,ph_min,ph_max,n_required,p_required,k_required,yield_ton_per_acre,cost_rs_per_acre,price_rs_per_ton,climate_score,risk_score,fertilizer_cost_per_kg_n,fertilizer_cost_per_kg_p,fertilizer_cost_per_kg_k
Rice,Black,Zaid,Canal,5.9,7.7,107,62,62,4.83,44670,18808,95,25,7.98,32.83,24.43
Soybean,Clay,Rabi,Canal,6.2,7.2,73,68,64,2.02,38828,47518,64,51,8.8,26.35,22.41
Tomato,Loamy,Kharif,Drip,6.3,6.8,220,111,87,38.68,59883,16496,77,42,7.26,20.27,27.89
Capsicum,Black,Rabi,Sprinkler,5.8,6.8,228,81,110,26.6,104905,26943,84,58,7.44,28.66,29.77
Capsicum,Loamy,Kharif,Drip,6.3,7.3,154,117,128,20.6,119351,29043,75,33,7.51,32.84,29.53
Potato,Loamy,Kharif,Canal,6.3,7.0,242,109,104,27.85,64599,16804,84,27,7.22,26.2,16.52
Cotton,Clay,Zaid,Drip,6.2,6.7,177,80,65,3.39,68239,61632,62,50,6.43,20.74,23.89
Sugarcane,Sandy,Rabi,Sprinkler,6.1,6.9,253,80,112,29.6,77390,3163,94,56,8.41,33.39,23.58
Capsicum,Black,Kharif,Sprinkler,5.8,7.5,239,130,86,23.72,67302,29369,74,55,8.25,34.59,25.25
Maize,Clay,Rabi,Drip,6.2,7.0,129,64,40,3.01,39322,14520,64,50,6.02,28.48,19.12
Groundnut,Loamy,Kharif,Drip,5.7,7.4,40,96,68,2.22,36621,56670,68,22,8.54,29.2,17.09
Sugarcane,Red,Kharif,Canal,6.2,6.8,257,120,111,30.87,65760,4143,75,49,7.15,33.79,26.9
Tomato,Sandy,Kharif,Rainfed,6.3,6.5,173,77,76,17.45,85002,8303,87,33,6.49,33.99,25.24
Sugarcane,Loamy,Zaid,Sprinkler,5.7,7.1,220,90,81,55.54,72194,3340,69,57,7.61,30.69,25.14
Rice,Red,Kharif,Canal,5.7,6.8,128,62,44,5.37,44699,21897,69,40,8.78,23.06,23.89
Maize,Clay,Kharif,Drip,5.6,7.4,120,75,45,4.58,33817,14875,75,41,6.98,21.27,18.47
Sugarcane,Red,Rabi,Drip,6.3,7.2,248,124,140,40.77,77212,3510,77,21,8.7,27.53,21.37
Tomato,Clay,Zaid,Rainfed,6.2,7.5,218,100,99,36.79,53630,11787,82,31,7.34,34.66,26.75
Groundnut,Clay,Zaid,Rainfed,5.7,7.7,63,89,74,2.1,43684,56523,88,59,5.27,29.45,29.27
Tomato,Clay,Rabi,Rainfed,6.0,6.7,173,95,86,25.51,77624,16796,61,27,5.82,21.76,18.68
Tomato,Black,Kharif,Drip,5.6,7.6,217,84,75,31.39,85925,15931,94,28,8.52,34.46,17.78
Wheat,Clay,Zaid,Sprinkler,5.7,6.8,134,64,51,3.21,44139,19231,68,24,7.63,31.08,23.32
Groundnut,Loamy,Kharif,Canal,6.5,6.7,59,86,77,2.5,42613,41408,85,46,6.12,30.91,16.0
Rice,Red,Zaid,Sprinkler,6.3,6.7,147,61,76,2.59,57779,17746,87,21,7.19,34.55,22.41
Groundnut,Loamy,Rabi,Sprinkler,6.5,6.9,52,70,92,2.53,46323,56085,93,37,5.47,20.33,23.65
Maize,Red,Rabi,Drip,5.9,6.7,170,90,65,5.14,28166,17114,93,29,7.07,23.85,24.54
Rice,Black,Zaid,Sprinkler,6.1,7.5,147,59,66,4.15,47689,21441,61,22,6.75,20.45,22.12
Potato,Loamy,Rabi,Drip,6.5,7.1,221,133,122,16.23,75568,13387,82,33,8.55,23.53,15.92
Groundnut,Clay,Kharif,Drip,5.8,7.8,54,81,69,2.7,45577,45898,84,51,6.19,25.33,28.41
Cotton,Red,Rabi,Canal,6.1,6.9,182,90,99,2.98,48909,56022,78,44,8.3,29.63,24.87
Rice,Red,Rabi,Sprinkler,6.5,6.8,132,60,51,4.05,59098,21902,83,41,8.01,27.6,15.64
Wheat,Clay,Zaid,Canal,6.3,7.7,123,52,66,3.4,42234,25158,87,21,7.8,25.14,25.14
Tomato,Clay,Zaid,Canal,6.3,7.3,199,113,85,33.4,73634,17903,69,38,7.85,21.99,29.61
Cotton,Loamy,Rabi,Canal,6.5,6.8,199,91,74,3.17,62843,65306,94,41,8.55,31.51,20.1
Groundnut,Red,Kharif,Rainfed,6.0,6.8,54,64,81,2.6,42551,47308,82,50,8.07,33.28,19.79
Sugarcane,Loamy,Rabi,Drip,5.9,7.7,215,101,94,58.72,75633,2826,64,35,7.02,32.34,19.24
Cotton,Loamy,Zaid,Sprinkler,5.7,7.0,184,90,62,4.0,60819,64526,87,38,7.19,33.56,20.36
Cotton,Clay,Zaid,Canal,5.5,6.8,192,70,65,2.08,62495,74826,79,26,5.55,28.95,27.03
Capsicum,Red,Kharif,Canal,5.6,7.4,216,127,94,12.53,81325,48719,62,29,6.05,28.85,19.63
Rice,Clay,Rabi,Sprinkler,5.9,7.2,121,78,43,3.5,58970,21919,84,20,7.4,20.13,19.37
Soybean,Loamy,Kharif,Rainfed,5.8,6.6,65,63,65,2.81,30295,52695,65,22,8.91,30.71,19.94
Rice,Red,Rabi,Canal,6.3,7.0,129,43,57,3.3,47425,20981,88,29,7.44,34.94,25.95
Potato,Red,Kharif,Canal,5.7,6.7,211,99,85,15.56,54293,16203,77,21,5.77,34.36,29.34
Soybean,Loamy,Rabi,Rainfed,5.6,7.6,90,81,69,1.71,39744,51027,93,54,7.08,23.96,21.48
Potato,Loamy,Zaid,Canal,5.8,7.0,247,106,96,20.1,74722,17783,68,32,6.58,24.06,29.99
Wheat,Sandy,Kharif,Drip,6.3,7.2,123,46,66,2.12,30278,21214,76,33,8.39,24.26,27.18
Maize,Red,Zaid,Sprinkler,6.3,6.6,166,68,72,6.93,43264,15484,87,33,7.53,21.01,23.54
Cotton,Red,Zaid,Canal,6.1,7.8,164,75,78,2.3,60924,68897,93,42,7.59,26.31,18.13
Cotton,Clay,Kharif,Sprinkler,6.4,6.7,171,74,83,3.43,60553,71782,84,46,7.44,24.33,16.15
Sugarcane,Black,Rabi,Drip,5.6,6.9,279,111,139,31.45,68299,3365,66,55,5.04,32.34,23.03
Maize,Black,Kharif,Sprinkler,6.1,6.8,178,88,74,6.4,32685,19934,78,29,6.02,22.23,21.83
Tomato,Loamy,Kharif,Drip,6.0,7.5,162,79,113,36.64,81299,13629,64,52,7.57,29.5,28.9
Rice,Red,Zaid,Drip,5.7,6.8,132,57,66,5.36,43047,17156,93,24,8.96,22.92,23.42
Tomato,Clay,Kharif,Canal,6.4,7.3,166,108,98,31.94,62598,15271,92,37,7.62,29.79,24.96
Rice,Black,Kharif,Sprinkler,5.8,7.0,113,60,78,3.31,50928,19302,91,20,7.47,31.37,29.18
Tomato,Clay,Zaid,Drip,6.0,6.9,206,86,110,35.85,86543,12334,85,37,8.43,30.66,18.06
Soybean,Red,Zaid,Drip,6.2,7.3,68,75,63,1.88,41007,44422,82,22,6.47,33.67,17.53
Tomato,Loamy,Kharif,Canal,6.0,7.0,175,105,76,16.05,64572,11375,61,27,8.8,22.37,22.19
Wheat,Sandy,Kharif,Sprinkler,5.7,7.2,95,40,63,3.98,31871,20051,77,36,8.64,30.05,28.97
Groundnut,Black,Kharif,Canal,6.5,6.5,59,65,85,1.75,34517,51019,91,35,6.41,24.61,29.93
Tomato,Sandy,Zaid,Canal,6.2,7.2,161,105,119,20.16,84186,9758,88,43,6.76,29.98,19.18
Cotton,Clay,Kharif,Sprinkler,6.2,7.2,174,84,94,3.97,59451,69324,88,39,8.99,25.66,20.32
Tomato,Red,Zaid,Canal,6.1,7.1,228,77,80,31.35,82619,12498,86,24,8.34,25.52,28.58
Soybean,Clay,Zaid,Sprinkler,6.5,7.1,64,72,74,2.35,41986,48327,75,26,8.71,28.58,17.53
Cotton,Clay,Rabi,Rainfed,6.0,7.8,176,77,66,3.86,65484,51747,68,49,6.96,24.78,22.22
Groundnut,Black,Zaid,Canal,6.3,6.8,63,81,60,2.56,31371,48069,60,29,5.9,25.87,20.72
Rice,Loamy,Kharif,Canal,6.1,7.3,149,64,47,5.18,45805,19475,82,46,5.22,22.91,17.73
Sugarcane,Sandy,Rabi,Rainfed,6.2,7.7,238,129,99,38.97,70854,3719,80,59,6.35,31.6,23.63
Cotton,Red,Kharif,Sprinkler,6.2,7.2,169,88,63,3.87,55351,72295,75,37,8.46,26.25,23.68
Sugarcane,Sandy,Rabi,Rainfed,6.5,6.8,286,139,111,46.09,68292,3795,79,41,6.65,34.54,25.96
Capsicum,Loamy,Rabi,Drip,5.9,6.6,216,91,121,15.48,65486,23759,75,42,5.5,23.48,26.04
Soybean,Sandy,Rabi,Canal,5.6,7.4,83,79,44,2.69,29403,48032,87,30,8.38,34.95,27.57
Sugarcane,Sandy,Rabi,Sprinkler,6.1,7.4,232,118,83,36.94,99392,2830,69,41,6.96,31.0,27.51
Maize,Red,Rabi,Canal,6.2,7.1,164,68,57,6.56,39233,14258,63,40,6.36,32.08,27.91
Tomato,Red,Rabi,Drip,5.9,7.1,231,119,89,31.25,74753,14803,67,54,5.41,22.0,24.12
Tomato,Loamy,Kharif,Drip,6.1,7.7,234,115,98,26.05,61580,16097,92,44,7.32,23.85,18.06
Soybean,Red,Rabi,Canal,5.5,7.4,53,77,47,2.81,41193,40731,64,52,6.94,20.9,27.23
Sugarcane,Loamy,Kharif,Drip,6.2,7.8,276,97,135,36.36,90256,3519,68,27,7.71,33.01,29.72
Cotton,Red,Kharif,Sprinkler,5.9,7.1,190,87,95,2.42,50720,58711,68,41,8.37,34.92,18.37
Rice,Clay,Kharif,Rainfed,5.6,7.5,109,73,74,5.66,38114,16794,92,33,7.35,31.27,24.41
Sugarcane,Loamy,Zaid,Rainfed,6.4,6.6,235,132,104,51.48,64396,4095,91,60,8.7,31.93,19.12
Potato,Loamy,Zaid,Canal,5.6,7.2,226,111,93,20.2,52689,18913,71,20,5.63,25.31,23.23
Potato,Black,Rabi,Canal,6.1,6.9,239,107,114,22.68,71597,17252,82,48,6.78,22.31,15.37
Potato,Loamy,Zaid,Rainfed,6.5,7.8,235,132,99,23.9,45286,12657,78,47,5.41,22.05,26.85
Soybean,Black,Zaid,Canal,5.8,6.8,50,97,68,2.04,41140,43493,94,48,5.58,21.43,26.16
Capsicum,Clay,Rabi,Rainfed,6.0,7.7,196,90,108,22.66,91396,28353,93,43,5.58,29.88,22.62
Wheat,Black,Rabi,Drip,5.6,7.2,92,44,67,3.85,47521,25070,88,32,5.92,28.83,20.08
Maize,Loamy,Kharif,Sprinkler,6.1,7.3,137,86,56,3.32,41306,18045,84,25,8.71,25.61,15.18
Tomato,Red,Kharif,Canal,6.1,7.8,162,96,82,29.31,78730,10266,62,59,7.23,30.72,20.52
Tomato,Sandy,Kharif,Drip,5.6,7.2,211,71,100,28.07,50787,14362,95,49,7.36,25.87,22.38
Capsicum,Black,Rabi,Sprinkler,5.6,7.5,169,109,116,20.56,69598,42836,77,24,6.63,32.2,26.85
Potato,Loamy,Kharif,Drip,6.4,6.8,237,128,99,21.07,60258,13297,88,58,5.92,23.82,24.56
Tomato,Clay,Zaid,Drip,5.5,7.0,160,79,99,28.55,67637,16211,86,37,6.89,23.53,22.89
Groundnut,Red,Rabi,Canal,5.7,7.2,41,81,69,1.86,42347,57778,85,49,6.34,23.18,18.1
Capsicum,Sandy,Zaid,Canal,6.1,7.0,224,126,137,26.95,81548,45069,93,28,6.97,21.58,25.82
Potato,Clay,Kharif,Sprinkler,5.5,7.1,257,134,101,26.32,53999,15293,80,20,8.95,32.2,23.96
Capsicum,Loamy,Kharif,Drip,6.1,7.5,201,108,124,22.94,61567,34529,95,54,6.12,22.89,22.41
Sugarcane,Black,Rabi,Canal,5.7,7.0,207,88,140,33.56,68951,3444,71,41,7.78,23.2,24.16
Tomato,Sandy,Rabi,Sprinkler,5.7,7.4,165,119,108,33.82,70588,15481,79,23,5.95,25.75,18.98
Groundnut,Red,Kharif,Rainfed,5.7,7.6,42,62,68,2.71,44092,63252,68,57,6.75,30.42,25.87
Soybean,Sandy,Rabi,Drip,6.0,7.1,85,78,70,2.02,26587,41806,73,20,8.33,32.77,22.79
Rice,Loamy,Rabi,Drip,6.1,6.7,141,52,47,3.05,38667,16111,62,32,5.44,29.31,21.03
Maize,Sandy,Rabi,Rainfed,6.2,7.0,142,84,65,6.21,38980,14029,80,44,5.74,31.0,26.99
Cotton,Loamy,Kharif,Rainfed,6.1,7.0,147,94,63,2.63,56818,51688,62,34,5.21,31.04,19.27
Groundnut,Clay,Kharif,Drip,5.5,7.8,72,97,95,1.86,36636,51434,77,58,8.55,33.43,27.22
Capsicum,Clay,Zaid,Canal,6.3,7.6,169,101,82,29.29,109475,32627,73,60,8.54,21.75,25.47
Sugarcane,Loamy,Rabi,Canal,6.0,7.7,239,130,94,59.44,97370,3444,69,24,7.18,22.75,18.28
Sugarcane,Clay,Rabi,Rainfed,5.7,7.7,293,88,105,47.74,70024,3864,89,46,6.55,20.96,28.75
Rice,Loamy,Zaid,Rainfed,6.1,6.6,112,64,63,4.13,55892,22681,95,52,6.05,32.82,18.34
Tomato,Red,Zaid,Drip,6.4,7.4,179,73,104,38.22,60937,17833,88,42,8.8,32.19,26.95
Tomato,Red,Rabi,Sprinkler,6.4,6.6,188,79,115,15.56,86571,15155,95,26,6.71,26.45,27.13
Wheat,Sandy,Rabi,Drip,6.4,6.7,90,59,46,4.6,45266,23932,83,44,8.76,26.74,24.37
Rice,Red,Kharif,Drip,6.1,7.0,101,56,70,2.9,49706,23682,88,44,6.1,21.32,18.23
Soybean,Loamy,Zaid,Drip,5.9,7.3,51,63,63,2.53,42056,39785,64,37,7.04,20.59,29.31
Cotton,Black,Zaid,Drip,5.7,7.7,170,60,97,2.93,51677,69614,87,44,8.1,23.94,24.04
Groundnut,Loamy,Rabi,Drip,6.2,6.7,80,66,87,2.43,49325,45917,79,21,6.44,33.53,28.94
Tomato,Red,Rabi,Drip,6.1,7.3,198,85,117,34.22,74839,11888,83,51,6.08,29.4,29.95
Capsicum,Red,Rabi,Rainfed,6.3,7.4,197,100,102,28.54,110263,47273,94,30,8.91,26.16,18.82
Rice,Sandy,Zaid,Sprinkler,6.1,7.3,139,59,70,4.47,42455,16021,70,27,6.4,25.35,19.55
Maize,Red,Kharif,Drip,6.3,6.9,180,71,69,5.27,29020,15594,68,49,5.12,28.12,26.0
Potato,Red,Kharif,Drip,5.9,6.7,208,113,138,24.74,76225,14994,86,47,6.05,29.43,24.89
Soybean,Red,Rabi,Drip,6.2,6.6,70,74,73,2.57,34261,37070,60,45,5.68,28.45,17.63
Soybean,Black,Kharif,Rainfed,6.2,7.4,87,77,40,2.11,43377,51515,79,55,8.76,34.34,28.15
Cotton,Clay,Zaid,Canal,6.2,6.7,166,86,77,2.9,54303,68089,72,20,8.43,29.95,28.14
Sugarcane,Red,Kharif,Sprinkler,5.5,6.9,255,96,117,35.86,79187,3595,75,29,7.0,28.06,28.52
Tomato,Clay,Zaid,Sprinkler,5.7,6.8,171,72,105,38.36,71742,14768,69,22,7.97,32.02,21.45
Capsicum,Red,Kharif,Canal,5.5,7.6,224,80,121,28.53,85722,23045,64,54,5.67,30.24,25.1
Maize,Clay,Rabi,Drip,6.2,6.5,125,79,59,5.26,40442,21486,78,60,8.97,27.93,17.23
Wheat,Black,Kharif,Drip,6.0,7.3,96,51,55,3.63,44576,19372,70,55,7.6,30.97,15.72
Capsicum,Red,Zaid,Rainfed,5.6,7.1,192,133,125,28.46,78004,49750,83,60,6.84,31.02,17.89
Capsicum,Loamy,Rabi,Sprinkler,6.4,7.3,177,105,87,10.58,102698,40467,70,47,5.89,34.14,19.32
Soybean,Loamy,Kharif,Rainfed,5.7,7.0,75,85,41,1.75,29940,52068,94,39,6.37,27.05,25.22
Soybean,Sandy,Kharif,Rainfed,6.1,7.1,75,80,65,1.68,40502,35304,71,48,5.28,20.03,28.48
Rice,Black,Rabi,Drip,6.0,7.3,112,55,69,3.79,57760,20697,60,46,5.27,30.7,19.86
Cotton,Black,Rabi,Rainfed,6.3,7.1,196,99,94,3.27,65924,51045,79,45,5.59,21.94,17.09
Maize,Clay,Kharif,Drip,6.0,7.5,122,70,46,3.17,47282,14368,63,45,8.13,22.33,18.96
Tomato,Red,Rabi,Drip,5.8,7.7,182,93,84,38.33,88293,12384,93,32,5.64,22.32,18.67
Groundnut,Clay,Kharif,Sprinkler,5.6,7.0,57,76,94,2.25,32095,52487,91,24,5.88,34.55,28.9
Potato,Red,Zaid,Canal,6.1,7.0,253,90,88,25.98,62072,12952,78,46,7.58,31.75,29.17
Capsicum,Black,Rabi,Canal,5.9,6.9,188,107,81,17.34,95881,21372,64,42,5.91,25.52,28.28
Rice,Red,Rabi,Canal,5.6,7.1,116,61,75,3.6,48585,23649,86,55,7.78,21.76,28.88
Capsicum,Clay,Rabi,Sprinkler,6.4,6.9,225,99,140,26.47,71560,30917,93,33,5.77,27.95,26.65
Rice,Sandy,Zaid,Rainfed,6.5,7.2,104,49,47,2.57,59243,17797,62,60,5.06,31.35,26.81
Potato,Clay,Zaid,Canal,6.4,6.6,192,130,80,15.25,76317,14085,87,35,7.67,29.74,19.26
Cotton,Clay,Rabi,Sprinkler,6.1,7.8,178,65,71,2.24,52189,77529,93,57,6.08,25.78,29.26
Sugarcane,Sandy,Kharif,Canal,6.1,6.6,297,116,98,58.28,90769,2920,83,45,8.67,30.28,21.41
Tomato,Black,Rabi,Canal,5.6,7.3,226,93,83,29.15,65255,16758,79,23,6.28,29.14,19.04
Tomato,Clay,Rabi,Canal,5.8,6.6,208,83,76,17.27,79127,8108,60,20,7.79,30.28,17.42
Rice,Clay,Rabi,Sprinkler,6.0,7.2,118,44,47,2.82,38650,22340,74,21,6.39,24.29,29.84
Rice,Black,Zaid,Drip,6.2,6.7,104,41,53,3.49,44177,18905,68,21,6.36,30.4,18.42
Rice,Black,Zaid,Rainfed,6.4,7.2,121,68,45,5.34,35232,23938,82,28,6.59,29.97,25.58
Groundnut,Black,Kharif,Drip,5.9,6.5,63,67,79,2.89,41063,43623,74,60,6.68,23.32,26.22
Potato,Sandy,Zaid,Rainfed,6.3,7.2,200,123,100,21.12,68030,17297,68,47,7.71,30.95,21.03
Wheat,Sandy,Zaid,Drip,6.0,7.6,125,45,60,4.13,42447,18699,93,28,5.56,21.91,25.58
Capsicum,Loamy,Kharif,Canal,6.0,6.6,188,130,111,23.06,85798,23354,91,45,8.46,26.7,23.3
Rice,Sandy,Zaid,Sprinkler,6.2,6.7,105,57,79,3.74,45955,22937,90,48,5.96,30.11,19.3
Maize,Black,Zaid,Rainfed,5.9,7.5,172,55,65,5.97,30623,18107,93,31,6.94,30.86,28.2
Capsicum,Red,Zaid,Canal,5.6,6.7,170,118,129,22.24,81421,23883,61,46,5.21,30.55,28.02
Sugarcane,Clay,Kharif,Rainfed,6.1,7.8,299,124,130,37.43,88869,2990,84,21,6.6,25.43,22.7
Potato,Red,Kharif,Rainfed,5.9,6.7,192,109,118,18.01,77327,19085,71,51,8.04,24.61,19.82
Tomato,Sandy,Kharif,Canal,6.5,7.8,168,93,81,25.92,76810,8262,62,44,7.53,22.77,26.28
Sugarcane,Sandy,Kharif,Sprinkler,5.9,7.6,219,87,133,43.37,85846,3223,82,24,6.1,32.99,15.89
Sugarcane,Loamy,Zaid,Canal,6.1,7.6,280,120,131,40.18,91741,3396,89,26,5.28,31.12,25.2
Tomato,Red,Rabi,Rainfed,5.6,7.6,228,86,98,32.75,53554,15156,91,34,5.05,25.67,19.02
Tomato,Black,Rabi,Canal,5.8,6.5,192,85,92,24.69,68879,16583,86,38,6.59,34.97,16.99
Groundnut,Loamy,Zaid,Rainfed,5.6,7.6,75,96,97,2.4,31886,54774,72,46,8.93,22.36,19.51
Groundnut,Red,Zaid,Rainfed,6.0,7.5,56,90,60,1.78,47817,45492,79,52,5.88,34.7,26.55
Potato,Loamy,Kharif,Drip,6.4,6.7,203,139,135,28.86,46236,14143,95,26,5.61,21.35,29.34
Capsicum,Sandy,Rabi,Rainfed,5.9,6.8,214,102,109,16.94,80092,46042,68,49,6.64,32.47,27.27
Potato,Black,Kharif,Canal,5.6,7.5,217,108,90,12.91,61432,13480,84,32,7.98,21.07,25.57
Soybean,Sandy,Rabi,Drip,6.4,7.7,88,71,56,2.77,36076,37461,72,32,6.59,22.2,28.11
Rice,Red,Zaid,Sprinkler,5.8,7.5,126,73,65,3.33,58043,20290,81,25,6.92,30.31,15.56
Rice,Sandy,Zaid,Sprinkler,6.1,6.9,138,65,67,2.92,35129,23689,78,43,8.0,22.92,17.19
Wheat,Red,Rabi,Rainfed,5.7,6.6,106,62,47,3.25,40214,23116,91,26,6.18,21.97,18.34
Wheat,Black,Kharif,Sprinkler,6.4,7.5,98,51,65,4.19,31975,25571,68,21,6.42,27.23,16.93
Tomato,Sandy,Kharif,Sprinkler,6.1,7.6,215,106,101,16.55,85471,11437,68,52,6.26,29.63,20.8
Cotton,Sandy,Zaid,Drip,6.1,6.6,167,60,70,2.86,49931,60063,94,28,8.12,25.57,27.13
Tomato,Loamy,Rabi,Drip,5.7,7.1,178,80,98,23.43,74985,17969,91,36,6.32,26.4,25.24
Potato,Red,Kharif,Rainfed,5.5,7.4,242,125,138,16.19,49415,19255,78,20,6.87,34.72,24.9
Groundnut,Black,Rabi,Rainfed,5.5,7.4,46,79,67,2.59,45357,57732,78,44,8.19,30.91,26.86
Groundnut,Black,Zaid,Rainfed,6.3,7.0,74,80,93,2.98,37552,52334,61,28,7.19,33.55,20.36
Capsicum,Clay,Zaid,Sprinkler,6.1,7.0,157,120,131,15.41,90628,39069,65,24,6.79,24.48,15.21
Capsicum,Black,Kharif,Canal,5.7,7.7,210,113,132,23.93,95891,42823,93,55,7.27,21.46,28.25
Capsicum,Sandy,Kharif,Drip,6.0,6.8,167,118,87,21.66,80335,20937,85,60,6.62,27.22,17.93
Wheat,Clay,Rabi,Rainfed,6.4,7.1,135,50,52,3.79,30154,25298,63,38,5.55,25.66,19.38
Tomato,Black,Zaid,Drip,5.9,7.1,191,92,79,22.27,87112,9270,66,22,8.64,28.06,20.46
Capsicum,Black,Kharif,Rainfed,6.0,7.3,235,134,135,29.83,73140,24918,86,43,6.6,22.34,28.5
Sugarcane,Clay,Zaid,Rainfed,6.3,6.7,239,84,96,48.53,76730,2917,84,33,5.13,22.05,25.64
Tomato,Red,Kharif,Canal,5.6,7.7,168,93,86,25.06,67517,8984,79,39,6.49,27.79,24.73
Cotton,Black,Zaid,Drip,6.2,7.5,162,67,78,3.6,59368,65724,88,39,7.02,22.73,24.18
Soybean,Loamy,Zaid,Rainfed,5.8,7.4,74,60,79,2.19,37813,40967,79,23,8.21,29.43,20.79
Wheat,Sandy,Rabi,Canal,5.6,7.2,128,52,55,2.41,37660,21016,71,47,6.8,31.21,22.29
Cotton,Red,Zaid,Rainfed,5.9,7.2,182,65,70,3.03,68783,73425,72,32,8.88,34.71,22.93
Tomato,Loamy,Zaid,Canal,6.0,6.9,199,94,80,29.91,84813,15844,89,37,5.56,34.07,24.43
Wheat,Black,Zaid,Sprinkler,5.9,6.7,99,62,43,4.31,44557,25579,79,23,6.47,30.07,16.29
Wheat,Red,Kharif,Sprinkler,6.2,7.2,109,57,63,2.15,43209,21649,92,46,7.9,33.16,15.88
Tomato,Loamy,Zaid,Sprinkler,6.5,7.3,186,93,90,36.9,86399,12410,83,44,5.16,24.81,15.92
Tomato,Black,Rabi,Sprinkler,6.1,7.1,233,100,77,31.73,68031,14198,80,28,7.73,32.35,24.19
Sugarcane,Clay,Kharif,Drip,5.6,7.6,232,114,101,46.35,68845,2869,67,31,7.07,23.14,26.55
Groundnut,Red,Zaid,Rainfed,5.6,7.0,49,84,79,2.98,48978,55362,88,29,8.6,31.4,23.44
Wheat,Red,Rabi,Drip,5.8,7.4,117,49,58,3.96,34449,22655,93,22,7.05,32.19,29.28
Cotton,Sandy,Rabi,Drip,6.4,7.8,154,84,64,3.59,60573,58179,81,58,7.51,30.82,22.5
Capsicum,Clay,Kharif,Drip,5.6,6.6,198,92,130,29.32,114852,39959,74,23,6.46,30.28,20.61
Maize,Clay,Kharif,Canal,6.4,6.5,144,88,74,4.51,28980,15557,63,55,6.27,33.57,24.79
Soybean,Loamy,Rabi,Drip,5.5,7.0,89,86,56,1.63,27089,37339,76,44,6.47,26.18,27.77
Tomato,Red,Zaid,Sprinkler,5.9,7.5,209,116,89,36.85,78936,14682,95,41,6.81,20.52,21.19
Tomato,Black,Kharif,Canal,6.2,7.8,189,93,88,36.5,82743,11855,68,34,6.19,27.49,20.37
Capsicum,Red,Rabi,Drip,5.6,7.3,239,99,127,13.78,74273,23798,63,46,8.42,29.09,19.41
Cotton,Loamy,Zaid,Drip,6.0,6.6,170,71,96,2.64,61811,68741,80,49,5.27,22.02,22.74
Groundnut,Black,Zaid,Drip,6.0,7.6,55,61,83,2.42,32281,52117,75,54,7.58,25.03,15.27
Rice,Red,Kharif,Drip,6.2,7.2,106,78,49,5.38,59040,22571,86,37,8.5,28.16,18.97
Wheat,Black,Rabi,Sprinkler,5.7,7.8,138,64,52,4.65,32958,25362,63,42,7.92,29.11,22.83
Maize,Black,Zaid,Drip,6.3,6.7,125,79,60,3.26,42373,17167,67,29,7.94,33.39,21.87
Rice,Red,Zaid,Canal,6.4,7.8,136,56,72,3.22,40727,23434,92,25,7.34,22.87,24.9
Tomato,Loamy,Kharif,Rainfed,6.0,6.8,221,106,97,16.66,50551,17542,66,26,8.98,24.19,18.45
Wheat,Clay,Zaid,Sprinkler,6.5,6.5,116,47,55,4.76,35451,25430,75,42,7.81,22.65,16.61
Soybean,Clay,Zaid,Rainfed,6.2,7.8,68,72,63,1.71,27797,52619,64,33,7.45,25.7,20.37
Maize,Red,Rabi,Rainfed,6.0,6.8,163,54,79,6.38,43522,15099,64,25,6.79,29.79,27.87
Sugarcane,Black,Kharif,Drip,6.0,7.2,214,121,134,30.41,70427,3452,89,54,8.61,29.06,29.24
Tomato,Red,Kharif,Sprinkler,6.0,6.5,204,106,120,22.34,72866,16896,69,49,5.86,28.57,21.68
Rice,Red,Rabi,Rainfed,6.2,7.2,116,74,57,5.88,50882,16329,76,55,6.87,30.82,24.91
Groundnut,Red,Kharif,Rainfed,5.5,7.0,75,78,91,1.38,32935,55918,63,26,7.63,32.23,18.62
Wheat,Sandy,Kharif,Canal,6.3,7.1,121,43,59,2.06,48902,22525,79,51,5.17,25.43,19.59
Rice,Black,Zaid,Rainfed,6.3,7.2,148,77,64,4.65,36329,23746,94,59,7.5,26.33,28.86
Wheat,Sandy,Zaid,Rainfed,6.3,7.3,131,56,68,3.05,40285,19189,72,33,7.25,32.74,18.7
Wheat,Red,Zaid,Drip,5.5,7.2,124,51,50,4.46,47558,21327,75,22,5.16,33.41,20.29
Potato,Clay,Rabi,Drip,6.1,7.1,257,109,89,14.56,61022,15359,65,45,6.5,28.7,20.27
Rice,Red,Rabi,Drip,6.3,6.9,112,68,55,3.47,41296,18072,62,42,5.48,20.32,15.66
Groundnut,Loamy,Rabi,Rainfed,6.2,6.9,68,93,78,2.25,34985,45743,66,29,5.51,34.42,22.67
Sugarcane,Loamy,Kharif,Rainfed,6.2,7.4,288,94,89,30.6,79526,3556,61,36,5.24,24.45,23.2
Groundnut,Clay,Zaid,Rainfed,6.2,6.7,57,91,92,2.01,40455,47525,74,38,5.29,20.83,22.91
Cotton,Clay,Zaid,Canal,5.7,6.9,155,78,73,3.46,45875,54603,90,52,8.84,32.78,15.01
Maize,Red,Kharif,Canal,6.1,7.5,144,71,76,5.23,42488,16035,79,34,7.34,27.95,18.79
Sugarcane,Clay,Zaid,Sprinkler,6.3,7.1,219,126,86,40.49,69685,3353,73,58,7.52,31.58,17.93
